Clubnr.,Clubnaam,1,2,3,4,5,6,TOTAAL
109,Borgerhout,,1,3,,1,,5
114,Mechelen,,1,1,1,,5,8
121,TUSK,,,,2,1,2,5
124,Deurne,,1,,1,1,1,4
128,Club 64 Beveren,,,1,,2,5,8
130,Moretus,,,1,,2,1,4
132,SK Oude God,,,1,1,2,3,7
135,Geel,,,1,1,1,,3
162,Mol,,,,,1,2,3
166,TSM Mechelen,1,,1,1,2,1,6
174,Brasschaat,,1,,1,4,1,7
176,Rokade Westerlo,1,,,1,,2,4
182,Noorderwijk,,,,,,1,1
190,Burcht,,,,,,1,1
194,ChessLooks Lier,,,1,1,1,,3
195,SKilled Chezzmates,,,,1,1,1,3
201,CREB Bruxelles,,,1,1,1,,3
202,Woluwe 1200,,,,,1,,1
204,Excelsior,,,,,,1,1
207,2 Fous d'Etterbeek,,1,,1,1,2,5
209,The Belgian CC,,1,,1,2,,4
226,Europchess,,1,,1,2,,4
228,Dworp,,,1,1,1,,3
229,Woluwe,,,,1,1,1,3
230,Leuven Centraal,1,,1,4,6,5,17
231,Dolle Toren Leuven,1,,1,1,,3,6
233,DZD Halle,,,,1,,1,2
238,Het Pientere Paard,,,,,,1,1
239,Boitsfort,1,,2,1,,1,5
244,Brussels,,1,,1,3,1,6
260,Kapelle-op-den Bos,,,,1,,2,3
261,Gambiet Opwijk,,1,1,2,,2,6
278,Ixelles CC,,1,1,4,2,2,10
301,KOSK,,1,1,1,3,,6
302,KISK Ieper,,,1,,1,1,3
303,KBSK Brugge,1,,1,2,3,,7
304,Tielt,,,,2,,1,3
305,KSGK,,,,1,,,1
307,Bredene,,,,1,,,1
309,KRST,,,,1,,,1
313,Waregem,,,1,1,1,1,4
322,KVSK Veurne,,,,,1,,1
340,Izegem,,,,2,,1,3
351,Knokke Schaak,,,,,1,,1
364,Meense Leie Schakers,,,1,,,2,3
401,KGSRL,1,1,2,5,3,3,15
402,Jean Jaures Gent,,1,,,1,1,3
404,De Drie Torens Gent,,,,,1,,1
410,Sint-Niklaas,,,,1,1,,2
417,Pion-Aalst,,,,1,,1,2
418,VPTD,,,,1,,1,2
422,MSV,,,1,,1,2,4
425,Dendermonde,,,1,,1,,2
430,Landegem,,,1,,1,,2
432,Wetteren,1,1,1,1,,2,6
436,LSV-Chesspirant,,1,1,1,1,3,7
438,Deinze,,,,1,,1,2
443,Boey Temse,,,,2,,1,3
460,Oudenaarde,,,,2,,1,3
462,Zottegem,,1,,2,1,1,5
465,SK Artevelde,,,1,1,1,,3
471,SDP Wachtebeke,1,,1,2,,1,5
472,SK de Mercatel,,1,,1,1,2,5
475,Rapid Aalter,,,,1,,1,2
501,CREC Charleroi,,1,,1,,3,5
511,EDC,,,,1,,2,3
514,MCC,,1,,1,,2,4
518,Soignies,,,,,,1,1
520,CEPAC,,,,,,1,1
521,Tournai,,,1,,1,1,3
525,Anderlues,,,,2,2,,4
541,Leuze,,,1,1,1,1,4
547,Echecs Ren. Binchois,,,,,,1,1
548,Caissa Europe,,,2,3,2,1,8
549,Saint-Ghislain,,,,,2,1,3
551,HCC Jurbise,,,,1,2,,3
601,CRELEL,1,,2,2,2,3,10
604,KSK47-Eynatten,,1,1,1,1,1,5
607,KSK Rochade,1,1,,2,2,1,7
609,Anthisnes,,,,1,1,,2
618,Royal Echiquier Mosan,,,1,1,,3,5
619,Welkenraedt,,,,,,1,1
621,Standard Liège - TAL,1,,1,,1,,3
622,Herve,,,1,,,1,2
623,Sankt Vith,,,,,1,,1
627,SF Wirtzfeld,,1,,1,1,1,4
666,Le 666,,,,,1,,1
703,Eisden/MSK-Dilsen,,1,,1,2,1,5
708,NLS Lommel,,,1,,,,1
712,SV - Landen,,,,1,2,,3
714,Pelt,,,,1,,1,2
727,Midden Limburg,,,1,2,2,,5
733,STSC,,,,,,1,1
736,SC Heusden,,,,,,1,1
810,Marche en Famenne,,,,1,,,1
811,Arlon Echecs,,,1,,,1,2
814,Gaume Etalle,,,,,1,,1
901,Namur Echecs,,1,,4,,3,8
902,CES,,,1,1,,2,4
906,T.S.M. Ave et Auffe,,,,,,1,1
909,Philippeville,,,,,2,1,3
952,CE Wavre,,,1,1,1,2,5
953,Le Pion du Roi Nivelles,,,,,1,1,2
961,Braine Echecs,,,1,,2,,3
962,CCBBE,,,,1,1,,2
,TOTAAL,12,24,48,96,96,115,391
